Quantity,Name,Price,Link,Note
1,Pro Micro ATmega32U4 5V 16MHz,$8.80,https://www.aliexpress.com/item/1005008228645771.html,-
2,Analog Joystick,$0.46,https://www.aliexpress.com/item/1005009009852719.html,-
8,12x12x4.3MM Push Buttons,$0.35,https://www.aliexpress.com/item/1005008921181262.html,You only need 8 but this listing sells them in bulk
